Source database	Release date	Update date	Length	Isolate Lineage source	BioSample accession	Submitter Country	strain	name	region	country	date	host	authors	institution	sra_accession	passage_type	abbr_authors	division	location
GenBank	2017-11-14T00:00:00Z	2019-02-26T00:00:00Z	286	oronasopharynx		USA	KX285804.1	PREDICT_OTBA42-20130602	Africa	Uganda	2013-05-30	Hipposideros	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis			Anthony et al		
GenBank	2017-11-14T00:00:00Z	2019-02-26T00:00:00Z	286	feces		USA	KX285803.1	PREDICT_OTBA41-20130602	Africa	Uganda	2013-05-30	Rhinolophus	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis			Anthony et al		
GenBank	2017-11-14T00:00:00Z	2019-02-26T00:00:00Z	354	feces		USA	KX284955.1	PREDICT-GVF-CM-ECO06296	Africa	Cameroon	2012-09-09	Hipposideros caffer	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis			Anthony et al		
GenBank	2017-11-14T00:00:00Z	2019-02-26T00:00:00Z	387	feces		USA	KX284928.1	PREDICT-ZB12046	Africa	Republic of the Congo	2012-07-30	Hipposideros	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis			Anthony et al		
GenBank	2017-11-14T00:00:00Z	2019-02-26T00:00:00Z	387	feces		USA	KX284927.1	PREDICT-ZB12027	Africa	Republic of the Congo	2012-07-30	Hipposideros ruber	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis			Anthony et al		
GenBank	2016-06-26T00:00:00Z	2016-06-26T00:00:00Z	658	oronasopharynx		India	KX268229.1		Asia	India	2014-02-XX	Homo sapiens	Nandhini,G.,Sujatha,S.	Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Microbiology			Nandhini et al		
GenBank	2016-06-26T00:00:00Z	2016-06-26T00:00:00Z	525	oronasopharynx		India	KX255651.1		Asia	India	2012-05-XX	Homo sapiens	Nandhini,G.,Sujatha,S.	Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Microbiology			Nandhini et al		
GenBank	2016-09-04T00:00:00Z	2016-09-04T00:00:00Z	27164			Germany	KU291449.1	Camel229E-CoV/KCSP1/KEN/2015	Africa	Kenya	2015-XX-XX	Camelus dromedarius	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2016-09-04T00:00:00Z	2016-09-04T00:00:00Z	27022			Germany	KU291448.1	HCoV-229E/BN1/GER/2015	Europe	Germany	2015-XX-XX	Homo sapiens	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology			Corman et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27390			China	KT368916.1	camel/Taif/T193/2015	Asia	Saudi Arabia	2015-03-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27392			China	KT368915.1	camel/Taif/T157(a)/2015	Asia	Saudi Arabia	2015-03-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27392			China	KT368914.1	camel/Taif/T96/2015	Asia	Saudi Arabia	2015-04-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27388			China	KT368913.1	camel/Taif/T91(a)/2015	Asia	Saudi Arabia	2015-04-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368912.1	camel/Jeddah/Jd28/2015	Asia	Saudi Arabia	2015-01-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27393			China	KT368911.1	camel/Jeddah/Jd8/2015	Asia	Saudi Arabia	2015-01-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27387			China	KT368910.1	camel/Jeddah/Jd6(a)/2015	Asia	Saudi Arabia	2015-01-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27386			China	KT368909.1	camel/Jeddah/Jd1(a)/2015	Asia	Saudi Arabia	2015-01-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368908.1	camel/Riyadh/Ry159(a)/2015	Asia	Saudi Arabia	2015-03-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368907.1	camel/Riyadh/Ry141/2015	Asia	Saudi Arabia	2015-03-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368906.1	camel/Jeddah/D50(a)/2014	Asia	Saudi Arabia	2014-12-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27397			China	KT368905.1	camel/Jeddah/D46(a)/2014	Asia	Saudi Arabia	2014-12-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368904.1	camel/Jeddah/D43(a)/2014	Asia	Saudi Arabia	2014-12-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27384			China	KT368903.1	camel/Jeddah/D38(a)/2014	Asia	Saudi Arabia	2014-12-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27396			China	KT368902.1	camel/Jeddah/D33(a)/2014	Asia	Saudi Arabia	2014-12-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27396			China	KT368901.1	camel/Jeddah/N68(a)/2014	Asia	Saudi Arabia	2014-11-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27390			China	KT368900.1	camel/Jeddah/N62(a)/2014	Asia	Saudi Arabia	2014-11-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27390			China	KT368899.1	camel/Jeddah/N60/2014	Asia	Saudi Arabia	2014-11-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368898.1	camel/Jeddah/N38/2014	Asia	Saudi Arabia	2014-11-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27395			China	KT368897.1	camel/Jeddah/O100/2014	Asia	Saudi Arabia	2014-10-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27389			China	KT368896.1	camel/Jeddah/O47(a)/2014	Asia	Saudi Arabia	2014-10-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27396			China	KT368895.1	camel/Jeddah/O23(a)/2014	Asia	Saudi Arabia	2014-10-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27397			China	KT368894.1	camel/Jeddah/Jd63/2014	Asia	Saudi Arabia	2014-06-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27386			China	KT368893.1	camel/Jeddah/Jd55/2014	Asia	Saudi Arabia	2014-06-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2015-12-17T00:00:00Z	2015-12-17T00:00:00Z	27391			China	KT368892.1	camel/Jeddah/Jd29/2014	Asia	Saudi Arabia	2014-06-XX	Camelus	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases			Sabir et al		
GenBank	2016-03-09T00:00:00Z	2016-03-09T00:00:00Z	850			Malaysia	KT359785.1	13MYKL1719	Asia	Malaysia	2013-XX-XX	Homo sapiens	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine			Al-Khannaq et al		
GenBank	2016-03-09T00:00:00Z	2016-03-09T00:00:00Z	850			Malaysia	KT359784.1	12MYKL1616	Asia	Malaysia	2012-XX-XX	Homo sapiens	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine			Al-Khannaq et al		
